age_in_years,days_tenure,length_of_residence,curr_ann_amt,good_credit,Churn
55,5621,12.0,898.040802,1,0
63,4127,2.0,575.211948,0,0
54,3328,6.0,992.810967,1,0
54,2620,11.0,1209.019384,1,0
31,48,0.0,1277.760367,1,0
59,5267,12.0,656.188818,1,0
64,3375,15.0,906.965969,1,0
38,5105,5.0,1007.7781,1,1
89,2618,2.0,719.27254,1,0
31,96,14.0,1163.555022,1,1
47,214,14.0,1395.04912,1,0
49,6291,3.0,743.767241,1,0
51,6291,3.0,922.437642,1,0
47,3744,13.0,585.321586,1,0
40,3720,4.0,966.109094,1,0
55,1204,0.0,940.015163,1,0
37,2478,8.0,1165.56147,0,0
46,3072,1.0,865.761823,1,0
35,3682,2.0,797.174828,1,0
55,80,1.0,429.114802,1,1
31,50,0.0,739.544484,1,0
47,966,8.0,500.77307,0,0
73,4056,2.0,1090.266437,1,0
56,4926,6.0,771.86631,1,0
86,6291,15.0,861.718429,0,0
50,5942,3.0,1271.757733,1,0
83,2390,13.0,695.051041,0,0
34,4124,15.0,636.95554,0,0
70,5673,5.0,995.281165,1,0
85,6291,15.0,1385.327452,1,0
47,106,6.0,823.611499,1,1
54,2638,1.0,708.381859,1,0
56,1250,15.0,1164.196208,1,0
69,3764,15.0,1433.626931,1,0
43,93,6.0,892.760658,1,1
62,5586,9.0,954.119705,1,0
31,2705,15.0,1030.134816,1,0
47,971,2.0,917.972336,0,0
38,75,6.0,997.256231,1,0
46,930,11.0,720.337354,0,0
56,1256,15.0,714.276153,1,1
52,4997,0.0,848.536251,0,0
55,6128,0.0,885.656167,1,0
74,6291,15.0,868.629682,1,0
55,2409,5.0,846.721944,1,0
40,2861,9.0,1207.966791,1,0
47,2690,14.0,975.082368,1,0
55,4416,0.0,993.120482,1,0
48,3840,3.0,908.259198,1,0
66,2618,15.0,752.091878,1,0
49,113,3.0,866.750496,1,1
65,5135,15.0,909.726197,1,0
73,4025,15.0,1213.464131,1,0
54,134,15.0,787.399259,1,1
62,1442,15.0,996.296431,1,0
45,3415,6.801,1016.063473,0,0
27,1383,15.0,775.158224,1,0
56,6291,6.0,523.094589,1,0
76,6291,15.0,1248.189526,1,1
59,6291,9.0,680.348791,1,0
37,70,3.0,734.638307,1,1
64,169,15.0,1140.402035,1,0
55,270,6.0,748.51852,1,1
64,337,15.0,1218.987612,1,0
53,2554,15.0,643.74563,0,0
59,1508,2.0,856.939156,1,0
61,3138,12.0,747.810388,1,0
73,202,1.0,940.695756,1,0
59,2234,6.801,1343.512988,1,0
55,803,5.0,644.128716,1,0
55,5220,3.0,891.652912,1,0
55,1606,7.0,1009.976861,1,0
55,4416,5.0,1044.5395,1,0
83,479,15.0,541.454581,1,0
43,6291,13.0,799.031004,1,0
70,3795,15.0,640.655561,1,0
56,6291,12.0,1227.807183,1,0
55,4818,4.0,813.569437,1,0
53,4500,10.0,871.1189,1,0
55,161,8.0,1057.250734,1,0
45,100,7.0,588.100613,1,0
41,777,9.0,583.210497,1,0
60,6104,7.0,814.057246,0,0
42,2680,4.0,838.822874,1,0
49,5744,9.0,1033.444816,1,0
55,2810,3.0,1130.165829,0,0
55,6291,15.0,1123.566011,1,0
29,2868,6.801,962.735322,1,0
46,3036,5.0,840.956141,0,0
62,6291,15.0,1580.628019,1,0
84,6291,15.0,443.543864,0,0
63,333,8.0,1050.572023,1,0
53,4522,15.0,960.253604,1,0
45,2972,12.0,1071.315177,1,1
55,6022,6.0,821.38005,1,0
65,172,7.0,808.439747,1,0
48,3310,2.0,797.955148,0,0
70,1721,11.0,1279.56097,1,0
68,5454,15.0,1009.627383,1,0
76,6291,14.0,1034.270129,1,0
48,6291,3.0,1314.380814,1,1
63,6291,15.0,1172.713017,1,0
66,3496,7.0,670.998426,1,1
58,296,15.0,933.185883,1,0
55,5621,7.0,1551.014848,1,0
35,3508,1.0,644.959434,0,0
77,6291,13.0,562.025378,0,0
57,4295,12.0,1081.917521,1,0
63,4943,13.0,843.882259,1,0
46,1027,4.0,841.782618,1,0
37,4976,1.0,1109.864325,1,0
44,5315,2.0,737.491386,1,0
57,6291,3.0,1112.245208,1,1
35,64,3.0,776.974362,1,0
65,1557,7.0,761.981735,1,0
38,2215,15.0,1075.010256,1,1
34,3463,1.0,647.690125,1,0
55,803,8.0,827.85195,1,0
44,2845,12.0,960.958025,1,0
47,107,9.0,847.986594,1,1
39,4261,2.0,1057.82457,1,1
30,3145,15.0,1356.195943,1,0
64,3387,11.0,1160.189394,1,0
51,6094,1.0,996.953438,1,0
49,6291,15.0,704.299751,1,0
43,3254,1.0,769.873174,1,0
43,3191,0.0,844.787561,1,0
72,198,1.0,1310.399401,1,0
40,1983,3.0,971.881184,1,0
63,2494,12.0,681.42238,1,0
60,153,15.0,1592.822846,0,1
39,6291,9.0,669.672233,1,0
45,1509,5.0,814.357804,1,0
40,160,2.0,1442.603634,0,0
62,161,12.0,1034.027101,1,0
86,250,9.0,734.354969,1,0
75,210,12.0,880.828919,1,0
64,6291,3.0,805.319738,1,0
55,5220,6.0,744.778823,1,0
38,3391,3.0,1047.428075,1,0
64,337,10.0,831.377215,1,0
54,1182,15.0,1053.444512,1,0
37,1397,6.0,941.868018,1,0
55,1204,3.0,931.618601,1,0
44,1431,10.0,772.441181,1,0
53,5799,5.0,659.725827,1,0
85,6291,15.0,1055.104189,1,0
35,1276,1.0,945.031902,1,0
53,130,2.0,780.796257,1,0
55,6074,8.0,971.388209,1,0
53,1906,11.0,552.273334,1,0
58,5139,2.0,1297.467989,1,0
40,3209,3.0,564.748112,1,0
49,4583,4.0,1222.834472,1,0
55,4818,1.0,920.32276,1,0
74,207,1.0,1091.227031,1,0
85,6291,10.0,889.97604,1,0
50,6291,15.0,1211.233743,0,0
58,2225,7.0,1354.627101,1,0
82,6291,15.0,1071.495009,1,0
55,4416,3.0,686.848459,1,0
66,6291,15.0,1034.961415,1,0
81,6291,9.0,1058.706157,1,0
62,6291,15.0,822.773122,1,1
58,6291,12.0,1186.289452,1,0
80,6291,15.0,920.693371,0,0
57,142,3.0,948.153724,1,0
61,1417,15.0,781.040273,1,0
63,6291,6.0,715.922875,1,0
73,6291,7.0,1246.618637,1,0
47,1582,8.0,1211.993981,1,0
42,875,2.0,987.536195,1,0
36,656,0.0,1207.856898,0,0
41,6291,2.0,719.077356,1,0
65,1549,14.0,1145.566529,1,0
46,3659,0.0,961.565438,1,0
62,4788,15.0,1119.835319,1,0
73,6291,14.0,1361.741632,0,0
37,5173,5.0,1045.855137,1,0
39,76,8.0,764.331765,1,0
47,4772,4.0,812.827589,1,0
55,3614,4.0,981.964531,1,0
74,4080,13.0,931.146332,1,0
60,1382,10.0,902.129753,1,0
41,1285,2.0,771.241994,0,0
55,5220,15.0,826.319098,1,0
70,2859,15.0,1342.42471,1,0
52,250,2.0,720.770507,1,0
56,1248,3.0,769.982447,1,0
55,4015,8.0,1100.83418,1,0
29,850,15.0,614.404884,1,0
46,1536,5.0,916.286031,1,0
45,908,6.0,1425.443979,1,0
55,1204,2.0,819.884871,0,0
44,1454,13.0,1177.724834,1,0
29,40,12.0,1191.954336,1,0
72,1770,2.0,777.594116,1,0
81,6291,9.0,834.676913,0,0
38,145,3.0,724.262795,1,1
42,804,6.0,1047.871888,1,0
67,1623,11.0,738.273107,1,0
46,206,1.0,1245.787241,1,1
55,2008,3.0,963.428809,1,0
74,6291,6.0,617.70619,1,0
52,126,15.0,1193.019133,1,1
61,157,2.0,1026.474222,1,1
37,5837,3.0,936.545317,1,0
38,4484,4.0,563.128737,1,0
30,679,4.0,655.866181,1,0
75,6239,4.0,734.21384,1,0
56,4830,15.0,1123.248922,1,0
34,604,5.0,958.396003,0,0
47,5395,8.0,774.98752,1,0
71,6291,15.0,1113.321445,1,1
29,826,1.0,540.093887,0,0
36,1701,13.0,690.933245,0,0
30,87,3.0,911.038204,1,0
56,1404,15.0,942.08627,1,0
58,1484,6.801,1278.628407,1,0
55,80,2.0,652.694453,1,0
75,1872,11.0,682.781493,1,0
85,6112,14.0,906.492399,1,0
51,2419,3.0,742.724348,1,0
59,1349,13.0,894.918923,1,0
60,6291,3.0,730.303646,1,0
80,6291,9.0,707.240196,0,0
77,4336,14.0,1237.480177,1,0
54,1328,6.801,920.702103,1,0
35,2232,3.0,490.219705,1,0
70,6291,11.0,1205.900078,1,0
54,131,15.0,782.973023,1,0
45,2492,8.0,683.38391,1,0
85,3694,15.0,960.884767,1,0
53,3885,0.0,1441.101364,1,0
55,4015,4.0,980.394911,1,0
33,109,15.0,1204.566417,1,0
30,692,10.0,886.485856,1,0
79,6291,15.0,1430.043701,1,0
33,847,15.0,1157.933418,1,0
79,224,9.0,622.533178,1,0
55,6022,15.0,949.75557,1,0
55,1606,4.0,763.159077,0,0
83,4755,4.0,902.084317,0,0
94,279,15.0,1084.454465,1,0
68,2768,15.0,1206.010493,1,0
51,6291,7.0,720.286229,1,1
72,1779,0.0,768.104462,1,0
74,2049,2.0,425.140862,1,0
69,2809,0.0,860.564033,1,0
47,5784,12.0,583.834127,1,0
45,886,0.0,854.583886,1,0
40,1592,7.0,850.908551,1,0
47,107,13.0,884.767657,1,0
77,6291,2.0,909.647627,1,1
55,6291,3.0,1067.138788,1,0
55,2008,7.0,911.291091,1,0
46,204,13.0,879.35135,1,1
44,6291,5.0,396.496305,0,0
63,1654,14.0,966.374329,1,0
58,6291,3.0,554.070188,1,0
74,6291,7.0,1197.319296,1,0
55,1204,15.0,675.223223,0,0
56,140,4.0,723.632754,1,1
55,137,5.0,1293.986368,1,1
58,2936,8.0,872.127566,1,0
53,3177,12.0,538.051453,0,0
55,4015,0.0,796.963378,1,0
43,6291,6.0,1148.312338,1,0
44,2378,15.0,1088.092854,0,0
31,3252,2.0,1175.237899,0,1
55,80,9.0,649.078754,1,1
60,153,15.0,904.122251,1,0
49,6291,2.0,1059.728858,1,0
50,1164,7.0,1289.583232,1,0
24,1300,15.0,718.413632,1,0
50,1042,15.0,984.463777,1,0
52,4936,12.0,861.045759,1,0
38,4466,6.0,982.567,1,0
55,4766,5.0,1230.032823,1,0
50,4632,15.0,505.695914,1,0
39,1952,5.0,1058.254244,1,0
63,165,13.0,1121.296272,1,0
34,893,5.0,705.016025,1,0
90,2359,15.0,877.562396,0,0
94,4173,1.0,619.371438,0,0
61,1584,4.0,1198.648586,1,0
45,5366,2.0,961.449248,1,0
39,1519,14.0,1185.171273,1,0
55,161,3.0,965.202346,0,1
51,1814,3.0,895.011236,0,0
40,163,1.0,639.749332,1,1
59,149,13.0,940.968152,1,0
53,2554,7.0,1057.233686,1,0
40,81,5.0,786.870716,1,1
27,2640,3.0,932.347087,1,0
41,857,1.0,766.332197,0,0
27,2617,15.0,962.370871,0,0
72,197,2.0,1156.049284,1,0
39,3783,0.0,1496.882837,1,0
37,2467,5.0,965.611457,1,0
55,1204,4.0,1068.891546,1,0
52,1113,1.0,1014.519674,1,0
86,6291,15.0,937.87301,1,0
65,2590,15.0,1197.025196,1,0
49,230,4.0,994.202125,1,0
38,4740,1.0,865.033638,1,0
55,2038,2.0,986.070219,0,1
31,4155,15.0,802.164574,0,1
70,189,3.0,1174.378717,1,0
47,1064,4.0,946.872875,1,0
58,1311,5.0,1138.901107,1,0
55,80,5.0,1259.576808,0,1
54,6291,10.0,918.734269,1,0
35,63,2.0,789.061464,1,1
55,2008,7.0,1070.927646,1,0
64,1690,8.0,973.310866,0,0
44,969,1.0,923.613544,1,0
48,111,8.0,1024.839608,1,1
66,2613,2.0,779.648511,1,0
64,6291,15.0,1259.169954,1,0
48,4450,7.0,1102.968988,1,0
52,249,6.0,873.208871,1,0
54,6291,7.0,1337.992667,1,0
56,6291,8.0,1242.237769,1,0
74,6291,15.0,908.983918,1,0
75,6291,2.0,1158.273411,1,0
47,5934,4.0,1005.720681,1,0
40,4960,2.0,804.167732,1,0
63,6291,0.0,1334.695633,1,0
77,6291,15.0,1260.309935,1,0
55,80,15.0,963.087994,1,0
42,4467,6.0,489.402704,1,0
48,6291,2.0,645.547697,1,0
73,6291,15.0,854.256634,1,0
36,1663,0.0,807.967225,1,0
32,3043,6.801,835.958987,1,0
57,5022,5.0,1272.768696,1,0
55,4015,6.801,681.542009,1,0
92,6291,15.0,1632.369156,0,0
55,6022,6.801,784.673959,1,0
39,2297,5.0,1003.16246,1,0
60,2321,15.0,967.205214,1,0
40,2059,2.0,1192.595487,1,0
59,4551,2.0,887.973217,1,0
30,385,15.0,989.736965,1,0
55,2810,3.0,473.567659,1,0
53,5704,6.0,940.717551,1,0
60,6291,13.0,762.884037,1,0
60,1384,15.0,959.012974,1,0
64,2531,7.0,537.022499,1,0
63,5735,6.0,929.922737,1,0
55,723,5.0,1395.287042,1,0
42,1299,4.0,1296.146541,1,0
90,528,6.0,948.918427,1,1
70,1918,15.0,1418.151913,0,0
57,4332,4.0,337.310477,1,0
52,1265,15.0,774.610174,1,1
57,6291,15.0,815.38797,1,0
59,298,8.0,1098.698196,1,0
57,143,1.0,932.991997,1,0
88,3840,15.0,960.886417,1,0
67,6291,15.0,854.232251,1,0
33,1389,15.0,1363.689597,1,0
35,124,5.0,1074.438946,1,1
58,292,5.0,570.955364,1,1
40,1203,5.0,591.688225,1,0
32,51,15.0,1316.285577,1,0
30,45,0.0,890.805835,1,0
30,2277,1.0,809.58606,0,0
53,4437,15.0,836.395074,1,0
59,152,3.0,1155.340951,1,0
33,1136,1.0,962.286886,1,0
71,6291,10.0,1247.259616,1,1
44,1902,6.0,1057.490972,1,0
34,2405,2.0,1094.386891,1,0
76,2122,15.0,893.511082,1,0
49,3392,11.0,897.865956,1,0
30,1615,2.0,646.099986,0,0
63,1663,9.0,837.769422,1,0
55,5621,6.0,619.22207,1,0
84,4822,2.0,766.729867,1,0
30,3102,15.0,976.432693,1,1
60,2294,8.0,532.344066,1,0
62,3990,3.0,991.782368,1,0
82,6291,15.0,754.727047,1,0
38,3631,6.0,701.94342,1,0
45,5482,1.0,1105.525728,1,0
59,6291,1.0,1011.935812,1,0
75,6291,15.0,1089.073411,1,0
49,4608,6.0,862.14749,1,0
30,1551,15.0,580.118854,1,0
66,6291,6.0,1340.328042,0,0
44,2845,6.0,953.835485,1,0
45,5449,0.0,912.073898,1,0
73,6291,13.0,728.625182,1,0
62,161,4.0,678.460406,1,1
49,115,2.0,1101.44431,1,1
58,5075,10.0,887.068864,0,0
47,5349,4.0,775.315689,1,1
43,1358,13.0,886.235412,1,0
75,2083,9.0,747.638915,0,0
50,1072,8.0,489.761521,1,0
38,4858,8.0,1479.799399,1,0
73,4994,15.0,689.838537,1,0
43,4171,3.0,862.558655,1,0
55,6291,2.0,666.677801,1,0
36,65,3.0,937.231232,0,1
46,4705,2.0,962.831714,0,0
33,1142,10.0,789.438215,1,0
51,122,1.0,1205.876479,1,0
53,1952,15.0,959.582427,1,0
80,457,6.801,738.052814,1,0
37,2069,1.0,1286.40208,0,0
62,6291,9.0,848.947931,1,0
82,466,10.0,1068.991657,0,0
33,3426,0.0,858.631073,1,0
59,149,15.0,768.834534,1,1
37,3570,5.0,810.410245,1,0
79,6291,4.0,1341.670608,0,0
55,5220,11.0,823.937036,1,0
45,99,8.0,686.819405,1,1
44,190,9.0,907.536821,0,0
53,2559,2.0,698.694602,1,0
52,5677,8.0,572.120072,1,0
51,4266,10.0,1226.283035,1,0
66,6291,12.0,1251.503848,1,0
60,1550,2.0,930.568602,1,0
66,351,13.0,723.118914,1,1
35,2775,6.801,727.387441,1,0
59,150,0.0,1009.462069,1,0
43,915,12.0,664.389712,0,0
39,76,4.0,860.844716,1,1
44,96,8.0,1171.051281,1,0
77,6291,15.0,1187.148478,1,0
65,6291,15.0,1157.565402,0,0
60,6291,5.0,902.854911,0,0
93,6291,2.0,658.270695,1,0
86,6291,12.0,986.163889,1,0
51,6291,1.0,753.050772,1,0
82,6291,15.0,866.088404,0,0
65,6291,0.0,864.272581,1,0
82,6291,15.0,1158.068261,1,0
51,1806,2.0,1007.125783,1,0
44,4377,2.0,868.170106,1,0
44,191,15.0,1288.092485,1,0
49,6291,6.0,891.170951,1,0
42,87,2.0,908.349208,1,1
46,1042,10.0,1450.114545,1,1
46,6291,8.0,1200.788507,1,0
57,6291,13.0,1060.857527,1,0
26,29,10.0,701.409079,1,1
76,4275,15.0,827.53082,1,0
48,5441,3.0,692.555038,0,0
48,5020,15.0,954.361928,0,0
55,6291,15.0,711.218344,1,0
39,77,6.0,1002.816936,0,0
73,6093,15.0,802.190144,1,0
59,303,5.0,572.837747,0,0
64,1510,15.0,737.906981,1,0
81,2320,15.0,1141.844744,1,0
51,242,14.0,969.970466,1,1
31,1883,6.0,1104.777323,1,0
65,171,10.0,1358.389663,1,1
54,2650,15.0,944.898508,1,0
77,1957,10.0,1074.65128,1,0
58,3686,5.0,903.132663,1,0
59,5983,15.0,659.11076,1,0
73,6291,13.0,1577.13642,1,0
65,6291,6.0,699.674174,1,0
38,6199,5.0,1427.712736,1,0
32,1786,4.0,1520.082287,1,0
60,2321,3.0,854.467423,1,0
62,323,2.0,774.898579,0,0
58,2180,11.0,793.12746,1,0
44,1445,11.0,870.353551,1,0
67,1809,11.0,1052.578782,1,0
34,1473,0.0,758.678021,0,0
44,96,15.0,1072.177385,1,0
47,2705,8.0,821.805,1,0
50,5225,0.0,550.837781,1,0
73,6291,4.0,1078.351285,1,0
43,183,2.0,853.335452,1,1
77,2177,15.0,1073.621246,1,0
54,6291,12.0,1209.909266,1,1
34,122,3.0,394.275929,1,1
33,3847,3.0,795.390216,1,0
80,6291,2.0,726.313465,0,0
52,1261,8.0,1358.822969,1,0
60,2285,15.0,1429.608392,1,0
44,856,4.0,925.71472,1,0
63,1645,15.0,870.323344,1,0
79,3380,15.0,998.10799,1,0
53,6291,13.0,1179.79799,1,1
34,902,2.0,990.303482,1,0
35,1832,3.0,668.55176,1,0
46,2054,11.0,1046.257058,1,0
32,4544,5.0,616.512467,1,0
65,1721,15.0,891.766897,1,0
31,3689,12.0,637.743123,1,0
75,6291,15.0,945.037029,1,0
48,5485,0.0,897.073058,1,0
41,771,6.0,1457.406756,0,0
45,2454,7.0,1138.934067,1,0
71,5883,15.0,1189.915165,1,0
46,102,3.0,1196.013013,1,0
52,1847,8.0,1095.854909,1,0
54,4586,1.0,918.719997,1,1
62,5618,12.0,1038.916387,1,0
50,119,4.0,683.804614,1,0
44,2890,8.0,895.108952,1,0
55,4818,13.0,920.939053,1,0
64,3362,2.0,999.204584,0,0
45,198,5.0,876.63084,0,0
49,4583,0.0,661.047958,1,0
64,6291,2.0,885.819203,1,0
41,1249,7.0,613.040146,1,0
76,427,2.0,625.173269,1,1
63,6291,12.0,559.099061,1,0
53,3237,15.0,1008.446269,1,0
43,2808,11.0,1394.763314,1,0
46,3659,4.0,785.239917,1,0
50,118,3.0,956.218008,1,0
77,3256,11.0,590.07396,1,0
55,2008,4.0,825.233481,1,0
35,2527,15.0,696.386095,1,0
45,100,7.0,793.61581,1,1
45,5944,8.0,989.225381,1,0
61,1423,5.0,914.870117,1,0
62,160,11.0,792.04763,1,0
58,2212,4.0,1434.296484,1,0
44,4755,6.0,799.787926,1,0
60,3083,6.801,341.931667,1,0
39,3135,4.0,1011.20384,1,0
51,6291,5.0,633.136151,1,0
86,6291,15.0,1175.358219,1,0
78,6291,4.0,1026.180791,0,0
69,6291,13.0,1291.764102,1,0
32,519,1.0,888.488966,1,0
90,3968,2.0,749.337936,1,0
74,6291,15.0,955.825467,1,0
50,1188,15.0,844.777174,0,0
68,182,14.0,736.248569,1,0
31,1207,0.0,949.90868,1,0
46,6291,5.0,820.506192,1,0
54,130,10.0,1132.766587,1,0
37,4173,9.0,658.158903,0,0
41,5977,3.0,945.786376,1,0
54,1174,4.0,835.088372,1,0
39,2659,2.0,1015.704737,0,0
55,3212,2.0,931.520486,0,0
55,6022,11.0,824.277033,1,0
55,4416,1.0,603.206613,0,0
55,80,15.0,1425.540343,0,0
69,3715,15.0,736.525529,1,0
59,6291,11.0,916.026381,1,0
89,6291,12.0,759.867544,1,0
75,6291,15.0,634.92269,1,0
55,80,1.0,1188.329579,1,0
61,2362,12.0,1115.200188,1,0
51,241,1.0,743.812216,1,1
68,2768,7.0,415.748965,1,0
82,4682,15.0,1294.665144,1,0
57,6291,4.0,871.47789,1,0
71,6291,15.0,1213.954428,1,0
55,80,5.0,850.416834,1,0
80,228,15.0,982.714406,1,0
54,1196,1.0,676.004196,1,0
48,5516,4.0,837.925419,1,0
55,1204,6.801,1218.438388,1,0
68,6291,15.0,907.188226,1,0
42,782,9.0,1342.220969,1,0
45,4499,15.0,1047.571661,0,1
48,217,9.0,1632.200133,1,0
69,373,9.0,769.339892,1,0
55,4076,10.0,1256.078571,1,0
78,6291,9.0,756.32076,1,0
45,201,6.801,1059.724892,1,0
55,2810,3.0,820.043532,1,0
55,1204,0.0,827.713075,1,0
74,6291,13.0,1046.907623,1,0
40,1194,0.0,1002.825277,1,0
86,6291,15.0,1051.15759,1,0
38,5559,3.0,970.534014,1,0
78,6291,0.0,1309.113577,0,1
51,3629,7.0,779.655556,1,0
61,6291,15.0,1357.629947,1,0
44,3351,3.0,981.396771,1,0
73,6291,3.0,1081.167092,1,0
55,6022,5.0,889.782519,0,0
64,5842,6.0,877.408248,1,0
69,2805,0.0,831.824962,1,1
75,420,6.0,989.735088,1,0
71,6291,9.0,1311.954377,1,0
85,6291,14.0,1151.113902,1,0
40,2829,3.0,923.23378,1,0
39,5674,4.0,806.461542,0,0
69,6291,0.0,572.179719,1,0
60,6291,15.0,1110.929965,1,0
76,6291,2.0,596.633975,1,0
97,6291,6.801,783.126172,1,0
58,6291,6.0,781.436896,1,0
53,6291,7.0,1118.151757,1,0
81,6291,14.0,814.099654,1,0
72,6291,15.0,1166.195051,1,0
53,6291,9.0,652.296339,1,0
52,2517,15.0,691.091562,1,0
36,4226,3.0,853.802014,1,0
34,58,6.801,1037.427933,1,0
36,993,0.0,669.578543,1,0
48,987,8.0,1118.797228,1,0
33,3141,4.0,981.145548,1,0
47,3227,8.0,1096.468368,1,0
83,3585,14.0,958.943788,1,0
50,238,3.0,836.560303,0,0
39,76,4.0,807.637508,1,1
42,1345,7.0,1108.378319,1,0
38,1121,6.801,1111.835845,1,0
66,6291,8.0,1013.561407,1,0
59,1362,8.0,1124.950097,1,0
62,2440,11.0,1030.250056,1,0
35,5474,0.0,475.272354,1,0
55,3212,7.0,548.884818,1,0
69,3733,2.0,869.140429,0,0
41,6291,5.0,792.90844,1,0
89,6291,9.0,955.11166,1,0
52,250,4.0,934.274896,1,0
55,2409,3.0,974.181483,1,1
55,6022,8.0,1087.094166,0,0
70,3818,1.0,905.811986,1,0
55,6022,3.0,1056.752647,1,0
43,2789,1.0,1325.743011,1,0
45,4924,3.0,688.535726,1,0
53,5083,10.0,939.777373,1,0
55,2008,10.0,1134.36462,1,0
55,4818,0.0,986.259725,1,0
33,3785,15.0,711.548962,0,0
73,6291,3.0,742.301398,1,0
39,4917,1.0,1005.577963,1,1
61,158,15.0,1150.729442,1,0
45,6291,9.0,998.411598,1,0
86,6291,7.0,1106.888516,1,0
52,5581,7.0,944.540015,1,0
66,1772,15.0,934.479524,1,0
41,771,8.0,1041.524035,1,0
43,2325,5.0,1228.716651,1,0
51,5429,3.0,512.046308,1,0
54,3930,0.0,985.783105,1,0
51,1814,4.0,1215.468147,0,0
33,2501,3.0,862.444575,1,0
39,1135,1.0,795.252712,1,0
56,2088,4.0,754.118659,1,0
56,138,6.0,1392.815534,1,0
77,6291,1.0,1148.232942,1,0
62,163,10.0,1031.308484,1,1
37,3158,1.0,708.003849,1,0
39,3527,12.0,711.185705,1,1
32,3529,1.0,847.870226,1,0
37,1410,0.0,932.816003,1,0
49,1143,9.0,1377.893463,1,0
41,84,3.0,1535.386783,1,1
65,1560,15.0,952.582497,1,0
48,2736,4.0,1312.880264,0,0
67,6291,15.0,1129.723694,1,0
41,2142,8.0,737.9979,1,1
33,2840,1.0,810.965044,0,0
69,3758,9.0,899.776665,1,0
60,2335,10.0,1036.239968,0,0
41,2543,3.0,862.945274,1,0
64,2545,2.0,670.032285,0,0
55,2409,0.0,839.667767,1,0
71,2914,10.0,771.972737,1,0
66,2631,9.0,617.253318,1,0
43,1841,3.0,844.095901,0,0
39,3123,7.0,789.142663,1,0
37,2133,6.0,1155.888959,1,0
99,2685,15.0,873.178554,1,1
86,251,3.0,786.237221,1,0
69,3733,3.0,525.207886,1,0
55,135,15.0,1617.861801,1,0
55,1204,8.0,963.217166,1,0
43,2340,4.0,862.939162,1,0
55,803,4.0,751.200822,1,0
51,1105,6.801,708.931206,1,0
34,911,11.0,1024.007523,0,0
44,5744,9.0,649.330202,1,0
89,260,5.0,1020.869637,1,0
43,5452,8.0,940.679285,1,0
82,6291,5.0,889.926593,1,0
89,6291,6.0,873.800425,1,0
43,5965,3.0,1198.52414,1,0
39,766,2.0,1112.997743,1,0
63,3320,2.0,1041.345683,1,0
33,4078,15.0,676.674772,1,0
57,2846,7.0,965.429438,1,0
68,5491,6.0,656.766146,0,0
60,6291,7.0,447.313134,0,0
55,803,7.0,1206.002402,1,0
55,4015,15.0,592.739849,1,0
43,186,8.0,1038.117848,1,1
55,1204,6.801,933.1777,1,0
31,49,15.0,649.284103,1,1
55,161,6.801,1099.915201,0,0
49,229,6.0,1178.975395,0,1
41,3815,15.0,1107.997504,1,0
44,6291,6.0,1051.282966,1,1
82,6291,12.0,1513.063315,1,0
59,6291,11.0,1032.356567,1,0
78,6291,4.0,709.456799,0,0
73,6291,6.0,807.23451,0,0
56,6291,7.0,833.848758,1,0
55,80,1.0,1189.767652,1,0
69,3722,15.0,696.378447,1,0
44,94,3.0,1344.535139,1,0
42,4797,4.0,749.970983,1,0
50,3529,1.0,570.457403,1,0
55,3212,15.0,990.766236,1,0
60,1541,2.0,843.671678,1,0
39,4261,11.0,960.060395,1,0
96,6291,6.0,810.218691,1,0
67,4484,5.0,918.82568,1,0
43,5014,8.0,850.432516,1,1
52,1892,2.0,783.88985,1,0
35,64,2.0,971.486377,1,1
81,3462,8.0,639.86852,1,0
39,2712,2.0,551.488626,1,0
55,4015,9.0,811.734611,1,0
67,1609,4.0,1130.080061,1,0
55,5220,5.0,718.491487,1,0
65,6044,11.0,674.442259,1,0
49,115,7.0,1411.901369,1,1
39,5444,2.0,1003.774442,1,0
49,116,11.0,865.306623,1,0
55,4015,2.0,776.448376,1,0
86,6210,15.0,1066.307421,0,0
73,3006,12.0,1042.434174,0,0
51,6291,6.0,1088.331164,1,0
75,1894,8.0,1009.188026,1,0
30,391,3.0,484.314456,0,0
60,2326,15.0,820.759969,1,1
76,4281,4.0,747.140134,0,0
43,2332,9.0,945.394689,1,0
43,915,4.0,674.424619,1,0
55,2748,2.0,1216.903309,1,0
41,6291,3.0,782.635097,1,0
63,328,5.0,1096.460203,1,0
69,2777,15.0,1115.388387,1,0
67,3618,0.0,756.103434,1,0
35,63,2.0,1192.736333,1,0
60,6291,1.0,1118.416179,0,0
77,6291,15.0,1100.526026,1,0
46,6291,6.0,1111.092074,0,0
58,6291,15.0,1203.578446,1,0
76,6291,15.0,1907.415133,1,0
84,6291,12.0,1194.452791,1,0
65,6291,15.0,1004.469991,0,0
55,6291,15.0,1398.959813,1,0
57,6291,15.0,379.463905,1,0
61,6291,9.0,1236.156645,1,1
88,6291,15.0,1304.351074,1,0
78,6291,3.0,1563.323903,1,0
65,6291,15.0,731.807751,0,0
55,6291,7.0,1214.007379,1,0
74,6291,11.0,1108.561039,1,0
45,6291,14.0,885.194143,1,0
66,6291,8.0,418.364779,1,0
59,6291,12.0,1037.845108,1,0
90,6291,6.0,1252.081602,1,0
77,6291,4.0,866.640487,0,0
52,6291,11.0,930.619422,1,0
63,6291,7.0,793.68995,1,0
